name,Dthletes,Distance
Huy Hoang,/athletes/103943712,9763.40
Quy Truong,/athletes/79037203,8259.20
Tam Nguyen,/athletes/106178600,3221.20
Thinh Vu,/athletes/77523597,4784.50
Thoa Nguyen,/athletes/149162660,
Sang Nguyen,/athletes/125487039,1912.9 
Tien Pham,/athletes/133066813,2597.0 
Duong Vu,/athletes/73380484,
Lieu Vo,/athletes/72851794,3641.80
Cuong Nguyen,/athletes/50684496,4249.7 
Xuan Nguyen,/athletes/106101923,3641.70
Huy Vu,/athletes/51364143,637.00
Hoc Pham,/athletes/99613505,
Thanh Dao,/athletes/87080139,3810.90
Đạt Nguyễn,/athletes/108464598,
An Ha,/athletes/110041582,803.9 
Trong Tran,/athletes/81517643,1617.4 
Phuong Tran,/athletes/48977253,1677.10
Khuong Pham,/athletes/129623990,2103.40
Vuong  Nguyen,/athletes/36760912,
Hieu Dang,/athletes/83759389,
Vu Duong,/athletes/118715057,
Pha Vo,/athletes/134088880,274.40
Truc Huynh,/athletes/46927804,
Khoa Le,/athletes/79129542,
Son Nguyen,/athletes/53686864,6810.40
Chi Nguyen,/athletes/53686864,
,,
