name,Dthletes,Distance
Huy H.,/athletes/103943712,9763.4
Quy T.,/athletes/79037203,8259.2
Tam N.,/athletes/106178600,3221.2
Thinh V.,/athletes/77523597,4784.5
Katy N.,/athletes/149162660,582.1
Sang N.,/athletes/125487039,1912.9 
Tien P.,/athletes/133066813,2597.0 
Duong Vu,/athletes/73380484,
Lieu V.,/athletes/72851794,3641.8
Cuong N.,/athletes/50684496,4249.7 
Xuan Nguyen,/athletes/106101923,3641.7
Huy V.,/athletes/51364143,637
Hoc Pham,/athletes/99613505,
Thanh D.,/athletes/87080139,3810.9
Đạt N.,/athletes/108464598,
An H.,/athletes/110041582,803.9 
Trong T.,/athletes/81517643,1617.4 
Phuong T.,/athletes/48977253,1677.1
Khương P.,/athletes/129623990,2103.4
Vuong N.,/athletes/36760912,
Hieu Dang,/athletes/83759389,
Vu Duong,/athletes/118715057,
Pha V.,/athletes/134088880,274.4
Truc Huynh,/athletes/46927804,
Khoa L.,/athletes/79129542,
Sơn N.,/athletes/78216355,6810.4
Chi N.,/athletes/53686864,
